date,high
2011-08-24,11.354781041052119
2011-08-25,11.249610873839668
2011-08-26,11.499800096382394
2011-08-29,11.730516400515198
2011-08-30,11.740703844983262
2011-08-31,11.747896019448987
2011-09-01,11.605874687227438
2011-09-02,11.326017329423525
2011-09-06,11.395827360698833
2011-09-07,11.553735560634792
2011-09-08,11.643924645152994
2011-09-09,11.56572148409628
2011-09-12,11.412310008536409
2011-09-13,11.572017159427489
2011-09-14,11.75179177224947
2011-09-15,11.795238922812251
2011-09-16,12.000181198120117
2011-09-19,12.38161267640755
2011-09-20,12.67015788530389
2011-09-21,12.632106254482734
2011-09-22,12.279439578886826
2011-09-23,12.187153040406097
2011-09-26,12.104457037505677
2011-09-27,12.262359539271129
2011-09-28,12.09726217621899
2011-09-29,12.051421364131375
2011-09-30,11.652313985061083
2011-10-03,11.465045372335426
2011-10-04,11.439877495590677
2011-10-05,11.380547575866153
2011-10-06,11.52916903899996
2011-10-07,11.318228435138218
2011-10-10,11.649914741516113
2011-10-11,12.080485587751225
2011-10-12,12.262362274301429
2011-10-13,12.23779010772705
2011-10-14,12.644391059875488
2011-10-17,12.785212736580082
2011-10-18,12.728585346275372
2011-10-19,12.237491319088457
2011-10-20,11.995691763938568
2011-10-21,11.959435151328881
2011-10-24,12.179961933432612
2011-10-25,12.181462116937183
2011-10-26,12.061610419352947
2011-10-27,12.254867229299295
2011-10-28,12.175465627881813
2011-10-31,12.264758560620587
2011-11-01,11.970219927562194
2011-11-02,11.998389365529741
2011-11-03,12.087078973162784
2011-11-04,12.088275867787567
2011-11-07,11.985201459008838
2011-11-08,12.224904601900386
2011-11-09,12.011869411187094
2011-11-10,11.901607077708487
2011-11-11,11.64662558398232
2011-11-14,11.543248441706814
2011-11-15,11.670588117863577
2011-11-16,11.719729156877678
2011-11-17,11.523171664479948
2011-11-18,11.38564323669095
2011-11-21,11.136650262960709
2011-11-22,11.323919714465045
2011-11-23,11.26129500147605
2011-11-25,11.120768261565997
2011-11-28,11.28766587137628
2011-11-29,11.35088767673537
2011-11-30,11.454256569295994
2011-12-01,11.655605587697291
2011-12-02,11.794339723383828
2011-12-05,11.877635604024746
2011-12-06,11.8242998024681
2011-12-07,11.713737752041972
2011-12-08,11.850370050831579
2011-12-09,11.80662447872681
2011-12-12,11.802429102006448
2011-12-13,11.84737184572311
2011-12-14,11.60706948815335
2011-12-15,11.498002843543663
2011-12-16,11.510287297272946
2011-12-19,11.531262422711267
2011-12-20,11.868348408909196
2011-12-21,11.904300596844578
2011-12-22,11.959135189885844
2011-12-23,12.09277438841773
2011-12-27,12.257567887856148
2011-12-28,12.232395288605298
2011-12-29,12.154494859288013
2011-12-30,12.173372033328402
2012-01-03,12.359740232610607
2012-01-04,12.425058186866142
2012-01-05,12.541013857857749
2012-01-06,12.666858960976063
2012-01-09,12.81667463180634
