Released,Model
2017-06-05,iMac (Retina 5K, 27-inch, 2017)
2017-06-05,Magic Keyboard with Numeric Keypad
2017-09-22,Apple TV 4K (1st generation)
2017-09-22,Apple Watch Series 3
2017-09-22,Apple Watch Hermès Series 3
2017-09-22,Apple Watch Edition Series 3
2017-09-22,Apple Watch Nike+ Series 3
2017-09-22,iPhone 8 (64 GB)
2017-09-22,iPhone 8 (256 GB)
2017-09-22,iPhone 8 Plus (64 GB)
2017-09-22,iPhone 8 Plus (256 GB)
2017-11-03,iPhone X
2017-12-14,iMac Pro (2017)
2018-02-09,HomePod (first generation)
2018-03-27,iPad (6th generation)
2018-07-12,MacBook Pro (13-inch, 2018, Four Thunderbolt 3 ports)
2018-07-12,MacBook Pro (15-inch, 2018)
2018-09-21,Apple Watch Series 4
2018-09-21,Apple Watch Hermès Series 4
2018-09-21,Apple Watch Nike+ Series 4
2018-09-21,iPhone XS
2018-09-21,iPhone XS Max
2018-10-26,iPhone XR (64 GB and 128 GB)
2018-10-26,iPhone XR (256 GB)
2018-11-07,Apple Pencil (2nd generation)
2018-11-07,Smart Keyboard Folio
2018-11-07,iPad Pro 11-inch (1st generation)
2018-11-07,iPad Pro 12.9-inch (3rd generation)
2018-11-07,MacBook Air (Retina, 13-inch, 2018)
2018-11-07,Mac Mini (2018) (Intel Core i3)
2018-11-07,Mac Mini (2018) (Intel Core i5 and i7)
2019-03-18,iPad Air (3rd generation)
2019-03-18,iPad Mini (5th generation)
2019-03-19,iMac (Retina 4K, 21.5-inch, 2019)
2019-03-19,iMac (Retina 5K, 27-inch, 2019)
2019-03-20,AirPods (2nd generation)
2019-05-21,MacBook Pro (13-inch, 2019, Four Thunderbolt 3 ports)
2019-05-21,MacBook Pro (15-inch, 2019)
2019-05-28,iPod Touch (7th generation)
2019-07-09,MacBook Air (Retina, 13-inch, 2019)
2019-07-09,MacBook Pro (13-inch, 2019, Two Thunderbolt 3 ports)
2019-08-20,Apple Card
2019-09-20,Apple Watch Series 5
2019-09-20,Apple Watch Hermès Series 5
2019-09-20,Apple Watch Nike Series 5
2019-09-20,Apple Watch Edition Series 5
2019-09-20,iPhone 8 (128 GB)
2019-09-20,iPhone 8 Plus (128 GB)
2019-09-20,iPhone 11
2019-09-20,iPhone 11 Pro
2019-09-20,iPhone 11 Pro Max
2019-09-25,iPad (7th generation)
2019-10-30,AirPods Pro (1st generation)
2019-11-13,MacBook Pro (16-inch, 2019)
2019-12-10,Mac Pro (2019)
2019-12-10,Pro Display XDR
2020-03-18,iPad Pro 11-inch (2nd generation)
2020-03-18,iPad Pro 12.9-inch (4th generation)
2020-03-18,Magic Keyboard for iPad
2020-03-18,MacBook Air (Retina, 13-inch, 2020)
2020-04-24,iPhone SE (2nd generation)
2020-05-04,MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports)
2020-05-04,MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports)
2020-08-04,iMac (Retina 5K, 27-inch, 2020)
2020-09-18,Apple Watch Series 6
2020-09-18,Apple Watch Hermès Series 6
2020-09-18,Apple Watch Nike Series 6
2020-09-18,Apple Watch SE
2020-09-18,iPad (8th generation)
2020-10-23,iPad Air (4th generation)
2020-10-23,iPhone 12
2020-10-23,iPhone 12 Pro
2020-11-13,iPhone 12 mini
2020-11-13,iPhone 12 Pro Max
2020-11-13,MagSafe Charger (15 W)
2020-11-13,MagSafe Duo Charger
2020-11-16,HomePod Mini (white)
2020-11-16,HomePod Mini (space gray)
2020-11-17,Mac Mini (M1, 2020)
2020-11-17,MacBook Air (M1, 2020)
2020-11-17,MacBook Pro (13-inch, M1, 2020)
2020-12-15,AirPods Max (first generation, Lightning)
2021-04-30,AirTag (1st generation)
2021-05-21,Apple TV 4K (2nd generation)
2021-05-21,Siri Remote (2nd generation)
2021-05-21,iMac (24-inch, M1, 2021)
2021-05-21,Magic Keyboard (second generation, Lightning)
2021-05-21,Magic Keyboard with Touch ID (Lightning)
2021-05-21,Magic Keyboard with Touch ID and Numeric Keypad (Lightning)
2021-05-21,iPad Pro 11-inch (3rd generation)
2021-05-21,iPad Pro 12.9-inch (5th generation)
2021-07-13,MagSafe Battery Pack
2021-09-24,iPad (9th generation)
2021-09-24,iPad Mini (6th generation)
2021-09-24,iPhone 13
2021-09-24,iPhone 13 Mini
2021-09-24,iPhone 13 Pro
2021-09-24,iPhone 13 Pro Max
2021-10-08,Apple Watch Series 7
2021-10-26,AirPods (3rd generation)
2021-10-26,MagSafe Charging Case for AirPods Pro
2021-10-26,MacBook Pro (14-inch, 2021)
2021-10-26,MacBook Pro (16-inch, 2021)
2021-10-26,Apple Polishing Cloth
2021-10-26,HomePod Mini (yellow, orange, blue)
2022-03-18,Apple Studio Display (2022)
2022-03-18,iPad Air (5th generation)
2022-03-18,iPhone SE (3rd generation)
2022-03-18,Mac Studio (2022)
2022-06-24,MacBook Pro (13-inch, M2, 2022)
2022-07-15,MacBook Air (M2, 2022)
2022-09-16,Apple Watch Series 8
2022-09-16,Apple Watch SE (2nd generation)
2022-09-16,iPhone 14
2022-09-16,iPhone 14 Pro
2022-09-16,iPhone 14 Pro Max
2022-09-23,AirPods Pro (2nd generation, Lightning case)
